chain,group,cbs_code,cbs_name,product_name,barcode,brand,kind,match
shufersal,food,120180,דגים,פילה סלמון מעושן פרוס מצונן 100 גרם,5901576058585,",",packaged,shared/3
tivtaam,food,120180,דגים,פילה סלמון מעושן פרוס מצונן 100 גרם,5901576058585,",",packaged,shared/3
tivtaam,food,120180,דגים,קציצות דג אמנון מוקפא 450 גרם,7290000664026,Shondong Tongxing Fo,packaged,shared/3
carrefour,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה בהירה בשמן וילי פוד 4*160 גר,7290015039246,גולדן פרייז קאנינג א,packaged,shared/4
carrefour,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה במי מלח וילי פוד 4*160 גר,7290015039338,גולדן פרייז קאנינג א,packaged,shared/4
carrefour,food,120190,שימורי דגים ודגים מעובדים,שלישיית טונה ריו מרה 3*80 גרם,8004030344938,"בולטון אלימנטרי בע""מ",packaged,shared/4
ramilevy,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה בהירה בשמן וילי פוד 4*160 גר,7290015039246,גולדן פרייז קאנינג א,packaged,shared/4
ramilevy,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה במי מלח וילי פוד 4*160 גר,7290015039338,גולדן פרייז קאנינג א,packaged,shared/4
ramilevy,food,120190,שימורי דגים ודגים מעובדים,שלישיית טונה ריו מרה 3*80 גרם,8004030344938,"בולטון אלימנטרי בע""מ",packaged,shared/4
shufersal,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה בהירה בשמן וילי פוד 4*160 גר,7290015039246,גולדן פרייז קאנינג א,packaged,shared/4
shufersal,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה במי מלח וילי פוד 4*160 גר,7290015039338,גולדן פרייז קאנינג א,packaged,shared/4
shufersal,food,120190,שימורי דגים ודגים מעובדים,שלישיית טונה ריו מרה 3*80 גרם,8004030344938,"בולטון אלימנטרי בע""מ",packaged,shared/4
tivtaam,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה בהירה בשמן וילי פוד 4*160 גר,7290015039246,גולדן פרייז קאנינג א,packaged,shared/4
tivtaam,food,120190,שימורי דגים ודגים מעובדים,רביעית טונה במי מלח וילי פוד 4*160 גר,7290015039338,גולדן פרייז קאנינג א,packaged,shared/4
tivtaam,food,120190,שימורי דגים ודגים מעובדים,שלישיית טונה ריו מרה 3*80 גרם,8004030344938,"בולטון אלימנטרי בע""מ",packaged,shared/4
carrefour,food,120210,שמנים,"ספריי שמן PAM בטעם שמן זית 141 מ""ל",64144090020,קונגרס פודס,packaged,shared/4
carrefour,food,120210,שמנים,שמן גרעיני ענבים דורו 1ל,8007270999012,קוסטה דיאורו,packaged,shared/4
carrefour,food,120210,שמנים,שמן קנולה עץ הזית 1 ל מועשר,7290002692393,סקנולה,packaged,shared/4
ramilevy,food,120210,שמנים,"ספריי שמן PAM בטעם שמן זית 141 מ""ל",64144090020,קונגרס פודס,packaged,shared/4
ramilevy,food,120210,שמנים,שמן גרעיני ענבים דורו 1ל,8007270999012,קוסטה דיאורו,packaged,shared/4
ramilevy,food,120210,שמנים,שמן קנולה עץ הזית 1 ל מועשר,7290002692393,סקנולה,packaged,shared/4
shufersal,food,120210,שמנים,"ספריי שמן PAM בטעם שמן זית 141 מ""ל",64144090020,קונגרס פודס,packaged,shared/4
shufersal,food,120210,שמנים,שמן גרעיני ענבים דורו 1ל,8007270999012,קוסטה דיאורו,packaged,shared/4
shufersal,food,120210,שמנים,שמן קנולה עץ הזית 1 ל מועשר,7290002692393,סקנולה,packaged,shared/4
tivtaam,food,120210,שמנים,"ספריי שמן PAM בטעם שמן זית 141 מ""ל",64144090020,קונגרס פודס,packaged,shared/4
tivtaam,food,120210,שמנים,שמן גרעיני ענבים דורו 1ל,8007270999012,קוסטה דיאורו,packaged,shared/4
tivtaam,food,120210,שמנים,שמן קנולה עץ הזית 1 ל מועשר,7290002692393,סקנולה,packaged,shared/4
carrefour,food,120220,מרגרינה,מרגרינה בטעם חמאה שמרית 200 גר,7290000453897,גרונבאנג- גרונדנסק א,packaged,shared/4
carrefour,food,120220,מרגרינה,מרגרינה בטעם חמאה200גרם,8719200998018,"מיוצר ע""י יוניליוור",packaged,shared/3
