date,chain,store_id,barcode,cbs_code,cbs_name,group,product_name,name,manufacturer,quantity,unit_of_measure,unit_qty,is_weighted,price,unit_price,promo_price,promo_min_qty,promo_desc,promo_id,effective_price,price_update,found,source_file,promo_file
2026-09-16,shufersal,290,7290006492432,120280,גבינה,food,** גד בייבי מוצרלה 1,מוצרלה בייבי 150ג גד,מחלבות גד,150.0,100 גרם,גרם,0.0,17.9,11.93,,,,,17.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290114310918,120280,גבינה,food,קוטג טרה 5% ווסטהיים,קוטג 5% 250 גרם,טרה,250.0,100 גרם,גרם,0.0,6.5,2.6,,,,,6.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290108504279,120280,גבינה,food,קשקבל צ'אנק 150 גר'.,קשקבל צאנק 150ג אירו,אל פסטור,150.0,100 גרם,גרם,0.0,21.9,14.6,,,,,21.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290004554354,120285,גלידות,food,"גלידה פנטסיה 900 מ""ל שוקו וניל",גלידת פנטסיה שוקו-וניל1ל,"גלידת שטראוס בע""מ",1.0,1ליטר,ליטר,0.0,32.9,32.9,28.9,1.0,ב. 28.90 גלידת פנטזיה 1 ליטר,4607902.0,28.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290006681003,120285,גלידות,food,גלידה קרמיסימו סרבט תות לימון 650 גרם,קרמיסימו תות לימון 1.33ל,"גלידת שטראוס בע""מ",1.33,1ליטר,ליטר,0.0,26.9,20.23,22.0,2.0,ב. 2ב44 גלידה קרמיסימו 1.33 ליטר,4623010.0,22.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290101114338,120285,גלידות,food,מאגדת חמישיה שלגון וניל עם ש. פיסטוק 99,חמישיה שלגון ונילש.פיסטו,---,200.0,100 גרם,גרם,0.0,25.9,12.95,22.5,2.0,ב. 2ב45 מאגדת חמישיה שלגון וניל ש.מריר,4611969.0,22.5,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000068138,120300,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות",food,אינסטנט פודינג וניל 80גר,אינסטנט פודינג וניל 80גר,"אסם תעשיות מזון בע""מ",80.0,100 גרם,גרם,0.0,5.9,7.38,3.333333333333333,3.0,3ב10 אינסטנט פודינג וניל 80 גרם,4608917.0,3.333333333333333,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000209012,120300,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות",food,חומץ הדרים 5% יכין 1,חומץ 5% 1 ליטר,"זנלכל בע""מ",1000.0,100 מיליליטר,מיליליטר,0.0,6.9,0.69,6.0,2.0,2ב12 רוטב לימון/חומץ 1 ליטר,4609138.0,6.0,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290000111360,120300,"תבלינים, רטבים, מוצרים לעוגה ומזון לתינוקות",food,חרדל אמיתי תלמה 250 גרם,חרדל אמיתי תלמה 250 גרם,יוניליוור ישראל מזון,250.0,100 גרם,גרם,0.0,8.9,3.56,,,,,8.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
2026-09-16,shufersal,290,7290006251589,120310,תה,food,תה ירוק נענע באריזה 50 יח,תה ירוק נענע 50שק*1.5גרם,ויסוצקי,75.0,100 גרם,גרם,0.0,45.9,61.2,38.9,1.0,38.90 תה ירוק 50 שקיקים,4607599.0,38.9,,1,PriceFull7290027600007-002-290-20260916-030000.gz,PromoFull7290027600007-002-290-20260916-030000.gz
